,0
271,MTG UN Equity
316,MTLQQ UN Equity
798,MTW UN Equity
463,MU UN Equity
852,MU UW Equity
645,MUR UN Equity
610,MWV UN Equity
835,MWW UN Equity
568,MWW UQ Equity
754,MWW UW Equity
543,MXIM UQ Equity
673,MXIM UW Equity
642,MYL UN Equity
810,MYL UW Equity
54,MZIAQ UN Equity
473,NAV UN Equity
961,NAVI UW Equity
771,NBL UN Equity
1089,NBL UW Equity
552,NBR UA Equity
654,NBR UN Equity
335,NC UN Equity
113,NCC UN Equity
239,NCE UN Equity
1041,NCLH UN Equity
541,NCR UN Equity
831,NDAQ UW Equity
578,NEBLQ UN Equity
75,NEE UN Equity
110,NEM UN Equity
591,NFB UN Equity
885,NFLX UW Equity
881,NFX UN Equity
221,NGH UN Equity
503,NI UN Equity
373,NKE UN Equity
1084,NKTR UW Equity
623,NLOK UQ Equity
718,NLOK UW Equity
996,NLSN UN Equity
422,NMK UN Equity
116,NOC UN Equity
656,NOV UN Equity
482,NOVL UQ Equity
671,NOVL UW Equity
1107,NOW UN Equity
887,NRG UN Equity
303,NRTLQ UN Equity
374,NSC UN Equity
495,NTAP UQ Equity
728,NTAP UW Equity
290,NTRS UQ Equity
711,NTRS UW Equity
119,NUE UN Equity
569,NVDA UQ Equity
670,NVDA UW Equity
1100,NVR UN Equity
108,NWL UN Equity
1061,NWL UW Equity
970,NWS UW Equity
947,NWSA UW Equity
410,NXTL UQ Equity
263,NYT UN Equity
766,NYX UN Equity
985,O UN Equity
213,OAT UN Equity
1112,ODFL UW Equity
282,OI UN Equity
431,OK UN Equity
377,OKE UN Equity
122,OMC UN Equity
469,OMX UN Equity
936,ORCL UN Equity
483,ORCL UQ Equity
695,ORCL UW Equity
862,ORLY UW Equity
1115,OTIS UN Equity
238,OWENQ UN Equity
120,OXY UN Equity
525,PALM UQ Equity
1116,PAYC UN Equity
489,PAYX UQ Equity
713,PAYX UW Equity
818,PBCT UW Equity
572,PBG UN Equity
134,PBI UN Equity
286,PCAR UQ Equity
696,PCAR UW Equity
124,PCG UN Equity
22,PCH UN Equity
590,PCL UN Equity
772,PCP UN Equity
661,PDCO UQ Equity
714,PDCO UW Equity
201,PDG UN Equity
809,PEAK UN Equity
140,PEG UN Equity
127,PEP UN Equity
1051,PEP UW Equity
908,PETM UW Equity
16,PFE UN Equity
603,PFG UN Equity
1037,PFG UW Equity
312,PG UN Equity
390,PGL UN Equity
139,PGR UN Equity
380,PH UN Equity
131,PHM UN Equity
1039,PKG UN Equity
350,PKI UN Equity
896,PLD UN Equity
832,PM UN Equity
566,PMCS UQ Equity
760,PMCS UW Equity
135,PNC UN Equity
924,PNR UN Equity
133,PNW UN Equity
789,POM UN Equity
1128,POOL UW Equity
137,PPG UN Equity
125,PPL UN Equity
219,PRDCQ UN Equity
935,PRGO UN Equity
893,PRGO UW Equity
600,PRU UN Equity
646,PSA UN Equity
910,PSX UN Equity
490,PTC UQ Equity
762,PTC UW Equity
264,PTV UN Equity
937,PVH UN Equity
182,PVN UN Equity
553,PWER UQ Equity
865,PWR UN Equity
826,PXD UN Equity
991,PYPL UW Equity
491,QCOM UQ Equity
715,QCOM UW Equity
884,QEP UN Equity
549,QLGC UQ Equity
746,QLGC UW Equity
975,QRVO UW Equity
193,QTRN UQ Equity
389,R UN Equity
50,RAD UN Equity
606,RAI UN Equity
425,RAL UN Equity
596,RATL UQ Equity
175,RBK UN Equity
952,RCL UN Equity
388,RDC UN Equity
4,RDPL UN Equity
1057,RE UN Equity
1055,REG UN Equity
1064,REG UW Equity
940,REGN UW Equity
641,RF UN Equity
511,RHI UN Equity
867,RHT UN Equity
464,RIG UN Equity
1038,RJF UN Equity
765,RL UN Equity
1049,RMD UN Equity
223,RML UN Equity
349,RNB US Equity
107,ROH UN Equity
457,ROK UN Equity
1067,ROL UN Equity
859,ROP UN Equity
860,ROST UW Equity
778,RRC UN Equity
268,RRD UN Equity
849,RRD UW Equity
828,RSG UN Equity
261,RSHCQ UN Equity
142,RTN UN Equity
313,RTX UN Equity
100,RX UN Equity
547,SANM UQ Equity
761,SANM UW Equity
500,SAPE UQ Equity
1048,SBAC UW Equity
545,SBUX UQ Equity
716,SBUX UW Equity
853,SCG UN Equity
391,SCHW UN Equity
660,SCHW UQ Equity
749,SCHW UW Equity
343,SCI UN Equity
518,SEBL UQ Equity
253,SEE UN Equity
441,SGID UN Equity
105,SGP UN Equity
648,SHLDQ UQ Equity
672,SHLDQ UW Equity
148,SHW UN Equity
287,SIAL UQ Equity
698,SIAL UW Equity
968,SIG UN Equity
799,SITC UN Equity
1076,SIVB UW Equity
812,SJM UN Equity
147,SLB UN Equity
976,SLG UN Equity
258,SLM UN Equity
897,SLM UW Equity
392,SNA UN Equity
727,SNDK UW Equity
842,SNI UN Equity
1014,SNI UW Equity
1046,SNPS UW Equity
278,SNV UN Equity
150,SO UN Equity
631,SOV UN Equity
599,SPG UN Equity
103,SPGI UN Equity
492,SPLS UQ Equity
717,SPLS UW Equity
824,SRCL UW Equity
459,SRE UN Equity
647,SSP UN Equity
1099,STE UN Equity
156,STI UN Equity
194,STJ UN Equity
748,STR UN Equity
220,STT UN Equity
926,STX UW Equity
655,STZ UN Equity
786,SUNEQ UN Equity
398,SVU UN Equity
153,SWK UN Equity
980,SWKS UW Equity
813,SWN UN Equity
143,SWY UN Equity
320,SXCL UQ Equity
977,SYF UN Equity
524,SYK UN Equity
400,SYY UN Equity
17,T UN Equity
190,TAP UN Equity
594,TAP/B UN Equity
792,TDC UN Equity
1013,TDG UN Equity
1133,TDY UN Equity
776,TEG UN Equity
384,TEK UN Equity
