Date,AU,GR,CA,JP,NZ,SW,SZ,UK,US
1990-05-31,0.030213,-0.007188,-0.002999,0.041516,0.006745,0.001869,0.023636,0.031572,0.000000
1990-06-29,0.036101,0.017759,0.010185,0.003307,0.024894,0.015887,0.007080,0.046254,0.000000
1990-07-31,0.002824,0.044211,0.014928,0.035845,0.008773,0.040746,0.045509,0.069070,0.000000
1990-08-31,0.033804,0.010534,0.000984,0.018780,0.044355,0.012441,0.037527,0.023824,0.000000
1990-09-28,0.020353,0.006786,0.004783,0.041034,0.005472,0.005354,0.007044,-0.004676,0.000000
1990-10-31,-0.045853,0.030368,-0.007766,0.064544,0.003662,0.021722,0.006841,0.045339,0.000000
1990-11-30,-0.009170,0.012710,0.004753,-0.027290,-0.002956,0.010977,0.005964,0.004356,0.000000
1990-12-31,0.000795,0.002184,0.007418,-0.019645,-0.032866,0.003110,0.001873,-0.003214,0.000000
1991-01-31,0.016524,0.010351,-0.000391,0.031286,0.022432,0.021369,0.012177,0.022017,0.000000
1991-02-28,0.006647,-0.021859,0.014622,-0.004998,0.006261,-0.013951,-0.039465,-0.017502,0.000000
1991-03-29,-0.010683,-0.102370,-0.005125,-0.055565,-0.017871,-0.069541,-0.088280,-0.084116,0.000000
1991-04-30,0.011799,-0.019428,0.009841,0.028042,0.005287,-0.009073,-0.010560,-0.017587,0.000000
1991-05-31,-0.019966,0.005795,0.007283,-0.007933,-0.005343,0.004912,-0.003688,0.005213,0.000000
1991-06-28,0.013799,-0.044700,0.004528,0.003973,-0.007819,-0.050107,-0.052877,-0.048404,0.000000
1991-07-31,0.015716,0.040993,-0.007603,0.002576,-0.006031,0.037365,0.023855,0.042761,0.000000
1991-08-30,0.012313,0.001929,0.012289,0.006161,0.007840,0.006456,-0.000812,0.003145,0.000000
1991-09-30,0.022607,0.053029,0.011027,0.031692,-0.009558,0.043338,0.054724,0.045100,0.000000
1991-10-31,-0.024294,-0.005323,0.008554,0.013256,-0.017768,-0.003087,-0.013069,-0.004727,0.000000
