Date,LnShEq,EqMktNtr,DedShBs,GlobalMac ,MngdFut ,EmgMkts,EvntDrvn , CnvrtArb ,FxIncArb ,HFIndex,LRF,MktRF,SMB,HML,RMW,CMA,UMD,BondMkt,CreditS,PTFSBD,PTFSFX,PTFSCOM,LiqPS,LiqSadka,AlphaQuest,Transtrend,VFINX,VEXMX,NAESX,VVIAX,VBINX,VIMSX,VISGX,VISVX,MTUM,TSMOM,TSMOMCM,TSMOMEQ,TSMOMFI,TSMOMFX
1997-02-28,-0.0158,0.0197,0.025,0.0182,0.0143,0.0769,0.0149,0.0133,0.011,0.013,0.0039,-0.0049,-0.0259,0.0567,0.0067,0.0347,-0.0213,-0.0016,0.0001,-0.049,0.024,0.24,-0.0306,0.0005,,5.12%,0.79%,-1.64%,-2.46%,,0.00%,,,,,-1.61%,-7.30%,4.63%,2.14%,1.99%
1997-03-31,-0.0227,-0.0115,0.0803,-0.0217,-0.0095,-0.0078,0.0018,0.0094,0.0072,-0.0141,0.0043,-0.0503,-0.0043,0.0339,0.005,0.0166,0.009,0.0027,-0.0003,-0.019,-0.142,-0.044,0.0136,0,,-2.17%,-4.13%,-5.10%,-4.74%,,-3.11%,,,,,2.05%,3.06%,1.51%,-2.30%,4.07%
1997-04-30,0.0001,0.0121,-0.008,0.0595,-0.0269,0.0197,0.0033,0.0102,0.0124,0.0286,0.0043,0.0404,-0.057,0.0007,0.0326,-0.0072,0.0486,0.002,-0.0004,-0.175,-0.131,0.025,0.0878,-0.0011,,-4.07%,5.96%,0.60%,0.38%,,3.33%,,,,,2.95%,2.41%,6.44%,2.14%,2.10%
1997-05-31,0.0514,0.0303,-0.065,-0.0202,-0.0076,0.0297,0.0291,0.0168,0.0101,0.0088,0.0049,0.0674,0.0475,-0.0413,-0.0102,-0.0296,-0.0517,-0.0018,0.0004,0.039,0.108,-0.016,0.008,-0.0008,,-0.62%,6.08%,9.86%,11.08%,,4.57%,,,,,0.88%,4.11%,6.76%,5.57%,-13.93%
1997-06-30,0.0228,0.0118,-0.0084,0.021,0.0021,0.0681,0.017,0.0209,0.0087,0.0226,0.0037,0.041,0.0119,0.0158,0.0056,0.0066,0.026,-0.0022,0.0004,-0.099,-0.067,0.077,0.0038,0.0039,,0.20%,4.45%,4.71%,5.23%,,3.14%,,,,,3.41%,-1.72%,11.87%,10.38%,1.51%
1997-07-31,0.0703,0.0326,-0.0632,0.1013,0.0569,0.0646,0.0358,0.0211,0.0109,0.0699,0.0043,0.0733,-0.0277,0.0026,0.0007,-0.0257,0.0379,-0.0027,0,0.308,0.324,0.206,0.0157,0.0078,,19.27%,7.96%,7.03%,5.42%,,5.70%,,,,,7.46%,1.76%,15.98%,18.26%,2.55%
1997-08-31,0.0062,-0.0092,-0.0007,-0.0241,-0.0727,-0.0365,-0.0026,0.0175,0.0082,-0.0126,0.0041,-0.0415,0.0761,0.0118,-0.0111,-0.0004,-0.0256,0.0008,-0.0001,-0.08,0.046,-0.142,-0.0172,0.0007,,1.02%,-5.61%,0.88%,2.24%,,-2.62%,,,,,-5.51%,-4.13%,-11.95%,-7.85%,-1.30%
1997-09-30,0.0591,0.0181,-0.0332,0.0463,0.0363,0.0278,0.025,0.0103,0.0115,0.0399,0.0044,0.0535,0.0249,0.0037,-0.0163,-0.0091,0.0147,-0.0009,-0.0003,0.003,-0.114,-0.03,-0.015,0.0006,,1.87%,5.47%,6.58%,7.27%,,4.06%,,,,,3.96%,-3.00%,15.09%,12.71%,1.52%
1997-10-31,-0.0084,0.0081,0.0675,-0.0189,-0.0073,-0.0786,0.0045,0.0046,-0.0158,-0.0164,0.0042,-0.038,-0.0052,0.0227,0.01,0.0194,-0.0057,-0.0018,0.0005,0.04,0.11,0.068,0.0198,0.0008,,-8.58%,-3.35%,-3.82%,-4.44%,,-1.42%,,,,,-0.38%,0.72%,-14.43%,6.98%,1.23%
1997-11-30,-0.0122,-0.0038,0.0293,0.0346,-0.0068,-0.0476,0.0133,-0.0082,0.004,0.01,0.0039,0.0298,-0.051,0.0119,0.028,0.0183,0.0033,-0.0015,0,-0.153,-0.012,-0.066,0.0782,-0.0001,,5.72%,4.60%,0.25%,-0.51%,,2.16%,,,,,1.70%,0.71%,5.22%,-2.14%,4.56%
1997-12-31,0.0155,0.0004,0.0104,0.0514,0.0282,0.043,0.0191,0.0101,0.0071,0.0322,0.0048,0.0132,-0.0204,0.0384,0.0075,0.0193,0.0398,-0.0007,-0.0003,0.006,-0.082,0.213,0.0354,-0.0016,,7.95%,1.73%,2.22%,1.66%,,1.51%,,,,,4.97%,5.96%,5.15%,6.28%,1.66%
1998-01-31,-0.0093,0.0091,-0.0105,-0.0218,0.0087,-0.059,0.0173,0.0084,-0.0084,-0.0121,0.0043,0.0015,-0.0136,-0.0163,0.0086,-0.0073,0.0014,-0.0027,0.0014,0.195,-0.044,0.04,0.031,0.0007,,0.25%,1.11%,-1.49%,-1.61%,,0.79%,,,,,2.98%,1.18%,6.26%,10.93%,-3.19%
1998-02-28,0.0564,0.0185,-0.0689,0.0021,-0.0028,0.02,0.0256,0.0163,0.0081,0.0196,0.0039,0.0704,0.002,-0.0085,-0.0031,-0.0254,-0.0112,0.0003,0.0003,-0.082,-0.241,-0.034,0.05,-0.0012,,0.21%,7.19%,7.72%,7.50%,,4.33%,,,,,2.75%,4.61%,9.62%,-2.15%,-1.64%
1998-03-31,0.0503,0.0197,-0.0242,0.1016,0.0106,0.0363,0.0248,0.0142,0.0161,0.0594,0.0039,0.0476,-0.0065,0.0139,-0.0026,-0.0037,0.0215,0.0008,-0.0001,-0.107,-0.016,-0.096,-0.0317,0.0015,,2.79%,5.10%,5.12%,4.13%,,3.16%,,,,,4.86%,1.89%,13.73%,3.10%,5.76%
1998-04-30,0.0114,0.0029,0.0086,0.0157,-0.0403,-0.0018,0.0073,0.0127,-0.0001,0.0095,0.0043,0.0073,-0.0001,0.0094,-0.0169,-0.0036,0.0074,-0.0001,0.0002,-0.196,-0.179,-0.109,-0.0207,0.0007,,-5.43%,1.01%,1.24%,0.50%,,0.91%,,,,,0.27%,2.46%,-0.62%,-0.11%,-3.10%
1998-05-31,-0.0169,0.0131,0.1089,0.0337,0.0325,-0.0978,-0.012,0.0065,-0.0021,0.0026,0.004,-0.0307,-0.0293,0.034,0.0107,0.0259,0.0182,0.0001,-0.0004,0.036,-0.024,0.178,-0.0054,0.0001,,3.55%,-1.74%,-4.71%,-5.36%,,-1.27%,,-2.80%,-1.60%,,4.82%,4.35%,2.82%,9.53%,2.91%
